"ID Luminaria","Sin Luz","Tipo Luminaria","Dirección","Barrio","Estado de la base","Medidor","Latitud","Longitud"
"Ledmoreno 111555","True","LED 50W","Moreno 11222","Centro","Sin base","","'-30.7582112","'-57.9856250"
"SodioSan Martin 9988","","sodio","San Martin 9988","Centro","Con base en buenas condiciones","","'-30.7594190","'-57.9827499"
"ledmoreno 1144","","LED 150W","","","","","",""
"Chile 1870","","LED 150W","Chile 1870","Sacachispas","Con base en buenas condiciones","","'-30.7414535","'-57.9712589"
