"ID Luminaria","Sin Luz","Tipo Luminaria","Dirección","Barrio","Estado de la base","Medidor","Latitud","Longitud"
"Led_SanLuis1476","","LED 150W","San Luis 1476","San Clemente","Base deteriorada","","-30.762365","-57.989488"
"Led_SanLuis1611","","LED 150W","San Luis 1611","San Clemente","Con base en buenas condiciones","","-30.761558","-57.990738"
"Led_SanLuis1666","","LED 150W","San Luis 1666","San Clemente","Con base en buenas condiciones","","-30.761143","-57.990877"
"Led_Antartida1082","","LED 150W","Antartida 1082","San Clemente","Con base en buenas condiciones","","-30.764407","-57.985749"
"Led_Antartida1119","","LED 150W","Antartida 1119","San Clemente","Con base en buenas condiciones","","-30.764236","-57.986264"
"Led_Antartida1215","","LED 150W","Antartida 1215","San Clemente","Con base en buenas condiciones","","-30.763595","-57.987009"
"Led_Antartida1280","","LED 150W","Antartida 1280","San Clemente","Con base en buenas condiciones","","-30.763121","-57.987261"
"Led_Antartida1321","","LED 150W","Antartida 1321","San Clemente","Con base en buenas condiciones","","-30.762913","-57.987798"
"Led_Antartida1423","","LED 150W","Antartida 1423","San Clemente","Base deteriorada","","-30.762212","-57.988592"
"Led_Antartida1480","","LED 150W","Antartida 1480","San Clemente","Con base en buenas condiciones","","-30.761733","-57.988839"
"Led_Antartida1576","","LED 150W","Antartida 1576","San Clemente","Con base en buenas condiciones","","-30.761157","-57.989482"
"Led_Antartida1615","","LED 150W","Antartida 1615","San Clemente","Con base en buenas condiciones","","-30.760968","-57.990051"
"Led_Cordoba1031","","LED 150W","Cordoba 1031","San Clemente","Con base en buenas condiciones","","-30.764208","-57.984853"
"Led_Cordoba1082","True","LED 150W","Cordoba 1082","San Clemente","Con base en buenas condiciones","","-30.763821","-57.985073"
"Led_Cordoba1178","","LED 150W","Cordoba 1178","San Clemente","Con base en buenas condiciones","","-30.76319","-57.985824"
"Led_Cordoba1221","True","LED 150W","Cordoba 1221","San Clemente","Con base en buenas condiciones","","-30.762964","-57.986312"
"Led_Cordoba1311","","LED 150W","Cordoba 1311","San Clemente","Con base en buenas condiciones","","-30.762314","-57.987084"
"Led_Cordoba1378","","LED 150W","Cordoba 1378","San Clemente","Con base en buenas condiciones","","-30.761802","-57.987358"
"Led_Cordoba1482","","LED 150W","Cordoba 1482","San Clemente","Sin base","","-30.761134","-57.988147"
"Led_Cordoba1525","","LED 150W","Cordoba 1525","San Clemente","Base deteriorada","","-30.760931","-57.988624"
"Led_Cordoba1613","","LED 150W","Cordoba 1613","San Clemente","Con base en buenas condiciones","","-30.760378","-57.989337"
"Led_Cordoba1676","","LED 150W","Cordoba 1676","San Clemente","Con base en buenas condiciones","","-30.759921","-57.989525"
"Led_RoqueSaenzPena3905","","LED 150W","Roque Saenz Pena 3905","San Clemente","Con base en buenas condiciones","","-30.766882","-57.988796"
"Led_RoqueSaenzPena3890","","LED 150W","Roque Saenz Pena 3890","San Clemente","Con base en buenas condiciones","","-30.766462","-57.988645"
